Milestone Name,Description,Target Date,Status,Project Name,Domain,Group,Priority,Owner
Q4 2024 S1 - Digital Mortgage Launch,Launch of core digital mortgage platform features,2024-10-15,In Progress,Digital Mortgage Platform,Product,Engineering Excellence,High,Product Manager
Q4 2024 S2 - Payment Integration Complete,Complete payment processing integration,2024-11-15,Not Started,Payment Integration Platform,Infrastructure,Business & Specialised Lending,High,Platform Manager
Q4 2024 S3 - API Gateway Optimization,Complete API gateway performance improvements,2024-12-15,Not Started,API Gateway Optimization,Infrastructure,Engineering Excellence,Medium,Architecture Lead
Q4 2024 S4 - Database Monitoring Live,Go-live with database performance monitoring,2024-12-31,Not Started,Database Performance Monitoring,Data,Engineering Excellence,High,Data Engineer
Q4 2024 S1 - Push Notifications Beta,Beta release of push notification system,2024-10-31,Not Started,Push Notification System,Product,Product Experience,Medium,Product Manager
Q4 2024 S2 - Security Framework V2,Release of enhanced security framework,2024-11-30,Not Started,Security Framework Enhancement,Infrastructure,Data Insights,High,Security Lead
Q4 2024 S3 - Load Balancer Upgrade,Complete load balancer configuration upgrade,2024-12-15,Not Started,Load Balancer Configuration,Infrastructure,Engineering Excellence,Medium,Platform Engineer
Q4 2024 S4 - Code Refactoring Phase 1,Complete first phase of code refactoring,2024-12-31,Not Started,Code Refactoring Initiative,Product,Business & Specialised Lending,Medium,Engineering Lead
Q4 2024 S1 - Analytics Dashboard Beta,Beta release of analytics dashboard,2024-10-31,Not Started,Analytics Dashboard,Data,Product Experience,High,Data Analyst
Q4 2024 S2 - Microservices Migration,Complete microservices architecture migration,2024-11-30,Not Started,Microservices Architecture,Infrastructure,Engineering Excellence,High,Architecture Lead
Q4 2024 S3 - Monitoring System Go-Live,Go-live with comprehensive monitoring system,2024-12-15,Not Started,Monitoring System Setup,Infrastructure,Business & Specialised Lending,High,DevOps Lead
Q4 2024 S4 - Mobile App Redesign Complete,Complete mobile application redesign,2024-12-31,Not Started,Mobile App Redesign,Product,Business & Specialised Lending,High,UX Lead
Q4 2024 S1 - Data Pipeline Optimization,Complete data pipeline optimization,2024-10-31,Not Started,Data Pipeline Optimization,Data,Product Experience,Medium,Data Engineer
Q4 2024 S2 - Legacy Migration Phase 1,Complete first phase of legacy system migration,2024-11-30,Not Started,Legacy System Migration,Infrastructure,Product Experience,High,Platform Manager
Q4 2024 S3 - E-commerce Platform Launch,Launch of e-commerce platform,2024-12-15,Not Started,E-commerce Platform,Product,Business & Specialised Lending,High,Product Manager
Q4 2024 S4 - Cloud Migration Complete,Complete cloud infrastructure migration,2024-12-31,Not Started,Cloud Infrastructure Migration,Infrastructure,Data Insights,High,Cloud Architect
Q4 2024 S1 - Backup System Enhancement,Complete backup system enhancements,2024-10-31,Not Started,Backup System Enhancement,Infrastructure,Data Insights,Medium,Infrastructure Lead
Q4 2024 S2 - Customer Portal Beta,Beta release of customer portal,2024-11-30,Not Started,Customer Portal,Product,Data Insights,High,Product Manager
Q4 2024 S3 - API Versioning System,Complete API versioning system implementation,2024-12-15,Not Started,API Versioning System,Infrastructure,Data Insights,Medium,API Manager
Q4 2024 S4 - Performance Optimization Complete,Complete performance optimization initiative,2024-12-31,Not Started,Performance Optimization,Product,Engineering Excellence,Medium,Performance Engineer 