Team,Quarter,Iteration,Epic/Work,Epic Type,Actual %,Variance Reason,Notes
"Mortgage Origination","Q1 2024",1,"User Authentication","Project",60,"none","Initial implementation"
"Mortgage Origination","Q1 2024",1,"Support Tickets","Run Work",40,"production-support","Daily support work"
"Mortgage Origination","Q1 2024",2,"Loan Application","Project",70,"none","Core feature development"
"Mortgage Origination","Q1 2024",2,"Support Tickets","Run Work",30,"production-support","Ongoing support"
"Mortgage Origination","Q1 2024",3,"Loan Application","Project",70,"none","Continued development"
"Mortgage Origination","Q1 2024",3,"Support Tickets","Run Work",30,"production-support","Support activities"
"Mortgage Origination","Q1 2024",4,"Loan Application","Project",70,"none","Final implementation"
"Mortgage Origination","Q1 2024",4,"Support Tickets","Run Work",30,"production-support","Support work"
"Mortgage Origination","Q1 2024",5,"Loan Application","Project",70,"none","Testing and refinement"
"Mortgage Origination","Q1 2024",5,"Support Tickets","Run Work",30,"production-support","Support tasks"
"Mortgage Origination","Q1 2024",6,"Loan Application","Project",70,"none","Final testing"
"Mortgage Origination","Q1 2024",6,"Support Tickets","Run Work",30,"production-support","Support activities"
"Credit Risk Management","Q1 2024",1,"Risk Assessment Engine","Project",80,"none","Risk model development"
"Credit Risk Management","Q1 2024",1,"Support Tickets","Run Work",20,"production-support","Support work"
"Credit Risk Management","Q1 2024",2,"Risk Assessment Engine","Project",80,"none","Model refinement"
"Credit Risk Management","Q1 2024",2,"Support Tickets","Run Work",20,"production-support","Ongoing support"
"Credit Risk Management","Q1 2024",3,"Risk Assessment Engine","Project",80,"none","Testing phase"
"Credit Risk Management","Q1 2024",3,"Support Tickets","Run Work",20,"production-support","Support activities"
"Credit Risk Management","Q1 2024",4,"Risk Assessment Engine","Project",80,"none","Final implementation"
"Credit Risk Management","Q1 2024",4,"Support Tickets","Run Work",20,"production-support","Support work"
"Credit Risk Management","Q1 2024",5,"Risk Assessment Engine","Project",80,"none","Deployment preparation"
"Credit Risk Management","Q1 2024",5,"Support Tickets","Run Work",20,"production-support","Support tasks"
"Credit Risk Management","Q1 2024",6,"Risk Assessment Engine","Project",80,"none","Go-live support"
"Credit Risk Management","Q1 2024",6,"Support Tickets","Run Work",20,"production-support","Post-deployment support" 