team_id,team_name,division_id,division_name,capacity
team-001,Frontend Team,div-001,Technology,320
team-002,Backend Team,div-001,Technology,320
team-003,Platform Team,div-001,Technology,320
team-004,Data Team,div-001,Technology,320
team-005,QA Team,div-001,Technology,320
team-006,Design Team,div-001,Technology,320
team-007,Mortgage Origination,div-002,Consumer Lending,320
team-008,Personal Loans Platform,div-002,Consumer Lending,320
team-009,Credit Assessment Engine,div-002,Consumer Lending,320
team-010,Loan Servicing,div-002,Consumer Lending,320
team-011,Collections & Recovery,div-002,Consumer Lending,320
team-012,Mortgage Underwriting,div-002,Consumer Lending,320
team-013,Consumer Risk Analytics,div-002,Consumer Lending,320
team-014,Loan Origination Platform,div-002,Consumer Lending,320
team-015,Consumer Compliance,div-002,Consumer Lending,320
team-016,Commercial Lending Platform,div-003,Business Lending,320
team-017,SME Lending Engine,div-003,Business Lending,320
team-018,Corporate Finance Platform,div-003,Business Lending,320
team-019,Business Risk Management,div-003,Business Lending,320
team-020,Trade Finance,div-003,Business Lending,320
team-021,Asset Finance Platform,div-003,Business Lending,320
team-022,Commercial Risk Analytics,div-003,Business Lending,320
team-023,Business Lending Operations,div-003,Business Lending,320
team-024,Commercial Underwriting,div-003,Business Lending,320
team-025,Business Compliance,div-003,Business Lending,320
team-026,Credit Card Platform,div-004,Cards & Payments,320
team-027,Debit Card Services,div-004,Cards & Payments,320
team-028,Payment Processing Engine,div-004,Cards & Payments,320
team-029,Payment Analytics,div-004,Cards & Payments,320
team-030,Card Fraud Detection,div-004,Cards & Payments,320
team-031,Payment Security,div-004,Cards & Payments,320
team-032,Merchant Services,div-004,Cards & Payments,320
team-033,Digital Wallet Platform,div-004,Cards & Payments,320
team-034,Payment Gateway,div-004,Cards & Payments,320
team-035,Card Rewards Platform,div-004,Cards & Payments,320